"Domain","Methods","Endpoint"
"hackerone.com","GET","/:team_id/launch(.:format)"
"hackerone.com","GET","/:team_id/jira_projects(.:format)"
"hackerone.com","PUT","/:team_id/launch(.:format)"
"hackerone.com","PATCH","/:team_id/launch(.:format)"
"hackerone.com","PUT","/:team_id/launch/first_time_invite(.:format)"
"hackerone.com","POST","/:team_id/learn_more/promote(.:format)"
"hackerone.com","POST","/:team_id/messaging(.:format)"
"hackerone.com","GET","/:team_id/messaging(.:format)"
"hackerone.com","GET","/:team_id/miles(.:format)"
"hackerone.com","PATCH","/:team_id/miles/:id(.:format)"
"hackerone.com","PUT","/:team_id/miles/:id(.:format)"
"hackerone.com","POST","/:team_id/miles/export(.:format)"
"hackerone.com","GET","/:team_id/phabricator_integration(.:format)"
"hackerone.com","GET","/:team_id/policy(.:format)"
"hackerone.com","PATCH","/:team_id/policy_subscriptions(.:format)"
"hackerone.com","PUT","/:team_id/policy_subscriptions(.:format)"
"hackerone.com","GET","/:team_id/policy_subscriptions(.:format)"
"hackerone.com","POST","/:team_id/prepayments(.:format)"
"hackerone.com","GET","/:team_id/prepayments(.:format)"
"hackerone.com","POST","/:team_id/private_program_application(.:format)"
"hackerone.com","GET","/:team_id/private_program_application_requirement(.:format)"
"hackerone.com","PUT","/:team_id/product_edition(.:format)"
"hackerone.com","PATCH","/:team_id/product_edition(.:format)"
"hackerone.com","GET","/:team_id/product_edition(.:format)"
"hackerone.com","POST","/:team_id/product_edition/create_lead(.:format)"
"hackerone.com","GET","/:team_id/profile_metrics(.:format)"
"hackerone.com","GET","/:team_id/program_health(.:format)"
"hackerone.com","POST","/:team_id/reports(.:format)"
"hackerone.com","GET","/:team_id/reports/draft(.:format)"
"hackerone.com","POST","/:team_id/reports/draft_reset_vuln_info(.:format)"
"hackerone.com","POST","/:team_id/reports/draft_sync(.:format)"
"hackerone.com","GET","/:team_id/reports/new(.:format)"
"hackerone.com","GET","/:team_id/reports/new/critical(.:format)"
"hackerone.com","GET","/:team_id/reports/public(.:format)"
"hackerone.com","GET","/:team_id/response_sla(.:format)"
"hackerone.com","GET","/:team_id/response_targets(.:format)"
"hackerone.com","PUT","/:team_id/response_targets(.:format)"
"hackerone.com","PATCH","/:team_id/response_targets(.:format)"
"hackerone.com","PUT","/:team_id/reward_settings(.:format)"
"hackerone.com","GET","/:team_id/reward_settings(.:format)"
"hackerone.com","PATCH","/:team_id/reward_settings(.:format)"
"hackerone.com","POST","/:team_id/saml_tests(.:format)"
"hackerone.com","GET","/:team_id/saml_tests/:id(.:format)"
"hackerone.com","GET","/:team_id/scopes(.:format)"
"hackerone.com","GET","/:team_id/scopes/:id/edit(.:format)"
"hackerone.com","GET","/:team_id/scopes/new(.:format)"
"hackerone.com","GET","/:team_id/security_email_forwarding(.:format)"
"hackerone.com","GET","/:team_id/security_email_forwarding/:id(.:format)"
"hackerone.com","POST","/:team_id/security_email_forwarding/setup_forwarding(.:format)"
"hackerone.com","GET","/:team_id/security_email_forwarding/test_forwarding(.:format)"
"hackerone.com","GET","/:team_id/setup_guide(.:format)"
"hackerone.com","PUT","/:team_id/setup_guide/complete(.:format)"
"hackerone.com","GET","/:team_id/severities(.:format)"
"hackerone.com","POST","/:team_id/severities(.:format)"
"hackerone.com","GET","/:team_id/slack_integration(.:format)"
"hackerone.com","GET","/:team_id/slack_pipelines/:id/edit(.:format)"
"hackerone.com","GET","/:team_id/slack_pipelines/new(.:format)"
"hackerone.com","PUT","/:team_id/stripe(.:format)"
"hackerone.com","PATCH","/:team_id/stripe(.:format)"
"hackerone.com","GET","/:team_id/submission_form(.:format)"
"hackerone.com","PATCH","/:team_id/submission_form(.:format)"
"hackerone.com","PUT","/:team_id/submission_form(.:format)"
"hackerone.com","GET","/:team_id/submission_requirements(.:format)"
"hackerone.com","GET","/:team_id/swag(.:format)"
"hackerone.com","PATCH","/:team_id/swag/:id(.:format)"
"hackerone.com","PUT","/:team_id/swag/:id(.:format)"
"hackerone.com","GET","/:team_id/team_member_invitations(.:format)"
"hackerone.com","POST","/:team_id/team_member_invitations(.:format)"
"hackerone.com","DELETE","/:team_id/team_member_invitations/:id(.:format)"
"hackerone.com","GET","/:team_id/team_members(.:format)"
"hackerone.com","PATCH","/:team_id/team_members/:id(.:format)"
"hackerone.com","GET","/:team_id/team_members/:id(.:format)"
"hackerone.com","DELETE","/:team_id/team_members/:id(.:format)"
"hackerone.com","PUT","/:team_id/team_members/:id(.:format)"
"hackerone.com","GET","/:team_id/team_members/:id/edit(.:format)"
"hackerone.com","POST","/:team_id/team_members/:id/subscriptions(.:format)"
"hackerone.com","POST","/:team_id/team_members/:id/visibility(.:format)"
"hackerone.com","GET","/:team_id/team_members/new(.:format)"
"hackerone.com","GET","/:team_id/thanks(/:child_team_id)(.:format)"
"hackerone.com","GET","/:team_id/thanks/:year(/:child_team_id)(.:format)"
"hackerone.com","GET","/:team_id/thanks/prior(.:format)"
"hackerone.com","GET","/:team_id/triggers(.:format)"
"hackerone.com","POST","/:team_id/triggers(.:format)"
"hackerone.com","PATCH","/:team_id/triggers/:id(.:format)"
"hackerone.com","PUT","/:team_id/triggers/:id(.:format)"
"hackerone.com","DELETE","/:team_id/triggers/:id(.:format)"
"hackerone.com","GET","/:team_id/triggers/:id(.:format)"
"hackerone.com","GET","/:team_id/triggers/:id/edit(.:format)"
"hackerone.com","GET","/:team_id/triggers/new(.:format)"
"hackerone.com","GET","/:team_id/weaknesses(.:format)"
"hackerone.com","GET","/:uppercased(.:format)"
"hackerone.com","GET","/:user_id/2017/:token(.:format)"
"hackerone.com","GET","/:user_id/badges(.:format)"
"hackerone.com","GET","/:user_id/calendar(.:format)"
"hackerone.com","GET","/:user_id/public_teams(.:format)"
"hackerone.com","GET","/:user_id/reports/public(.:format)"
"hackerone.com","GET","/:user_id/thanks(.:format)"
"hackerone.com","GET","/:user_id/year-in-review(.:format)"
"hackerone.com","POST","/:uuid/embedded_severities(.:format)"
"hackerone.com","GET","/:uuid/embedded_severities(.:format)"
"hackerone.com","POST","/:uuid/embedded_submissions(.:format)"
"hackerone.com","GET","/:uuid/embedded_submissions/draft(.:format)"
"hackerone.com","POST","/:uuid/embedded_submissions/draft_reset_vuln_info(.:format)"
"hackerone.com","POST","/:uuid/embedded_submissions/draft_sync(.:format)"
"hackerone.com","GET","/:uuid/embedded_submissions/new(.:format)"
"hackerone.com","GET","/:uuid/embedded_submissions/script(.:format)"
"hackerone.com","GET","/:uuid/embedded_weakness(.:format)"
"hackerone.com","PATCH","/activities/:id(.:format)"
"hackerone.com","PUT","/activities/:id(.:format)"
"hackerone.com","GET","/activities/:id/edit(.:format)"
"hackerone.com","GET|POST","/apps/atlassian/claim-app(.:format)"
"hackerone.com","POST","/apps/atlassian/installation-callback(.:format)"
"hackerone.com","GET","/apps/atlassian/manifest(.:format)"
"hackerone.com","GET","/apps/atlassian/redirect-to-claim-app(.:format)"
"hackerone.com","POST","/apps/atlassian/uninstallation-callback(.:format)"
"hackerone.com","POST","/attachments(.:format)"
"hackerone.com","DELETE","/attachments/:id(.:format)"
"hackerone.com","GET|POST","/auth/:provider/callback(.:format)"
"hackerone.com","GET","/better_hacktivity(.:format)"
"hackerone.com","GET","/bug-bounty-programs(.:format)"
"hackerone.com","GET","/bugs(.:format)"
"hackerone.com","GET","/bugs/anc(.:format)"
"hackerone.com","GET","/bugs/count(.:format)"
"hackerone.com","GET","/bugs/filter_entities(.:format)"
"hackerone.com","GET","/bugs/hackathons(.:format)"
"hackerone.com","GET","/bugs/reported_to_teams(.:format)"
"hackerone.com","POST","/common_responses(.:format)"
"hackerone.com","PUT","/common_responses/:id(.:format)"
"hackerone.com","PATCH","/common_responses/:id(.:format)"
"hackerone.com","DELETE","/common_responses/:id(.:format)"
"hackerone.com","GET","/current_user(.:format)"
"hackerone.com","GET","/current_user/graphql_token(.:format)"
"hackerone.com","GET","/da(.:format)"
"hackerone.com","GET","/dashboard(.:format)"
"hackerone.com","GET","/dashboard/all_time_metrics(.:format)"
"hackerone.com","POST","/dashboard/raw(.:format)"
"hackerone.com","GET","/dashboard/time_bracketed_metrics(.:format)"
"hackerone.com","GET","/directory(.:format)"
"hackerone.com","GET","/directory/new(.:format)"
"hackerone.com","GET","/disclosure_assistance(.:format)"
"hackerone.com","GET","/disclosureassistance(.:format)"
"hackerone.com","GET","/examples/form(.:format)"
"hackerone.com","GET","/examples/index(.:format)"
"hackerone.com","POST","/external_programs(.:format)"
"hackerone.com","POST","/external_programs/:id/approve_claim(.:format)"
"hackerone.com","POST","/external_programs/:id/reject_claim(.:format)"
"hackerone.com","GET","/external_programs/review(.:format)"
"hackerone.com","GET","/faq(.:format)"
"hackerone.com","POST","/features(.:format)"
"hackerone.com","GET","/gates(.:format)"
"hackerone.com","POST","/graphql(.:format)"
"hackerone.com","GET","/hackathons/:id(.:format)"
"hackerone.com","GET","/hackathons/:id/live(.:format)"
"hackerone.com","GET","/hackathons/:id/photos(.:format)"
"hackerone.com","GET","/hackathons/hacktheworld/2016(.:format)"
"hackerone.com","GET","/hackathons/hacktheworld/2017(.:format)"
"hackerone.com","POST","/hackbot/accept(.:format)"
"hackerone.com","GET","/hackbot/genii(.:format)"
"hackerone.com","POST","/hackbot/mute(.:format)"
"hackerone.com","POST","/hackbot/reject(.:format)"
"hackerone.com","GET","/hacker_dashboard(.:format)"
"hackerone.com","GET","/hacker_dashboard/accepted_invitations(.:format)"
"hackerone.com","GET","/hacker_dashboard/bookmarked_programs(.:format)"
"hackerone.com","GET","/hacker_dashboard/getting_started(.:format)"
"hackerone.com","GET","/hacker_dashboard/getting_started/about_hackerone(.:format)"
"hackerone.com","GET","/hacker_dashboard/getting_started/explore_programs(.:format)"
"hackerone.com","GET","/hacker_dashboard/getting_started/learn_how_to_hack(.:format)"
"hackerone.com","GET","/hacker_dashboard/getting_started/submit_your_report(.:format)"
"hackerone.com","GET","/hacker_dashboard/my_programs(.:format)"
